,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,14691,Cossacks: European Wars,PC,2001,Strategy,Strategy First,0.0,0.02,0.0,0.0,0.03
1,61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26
2,69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
3,103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27
4,112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91
5,248,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
6,328,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
7,679,My Fitness Coach,Wii,2008,Sports,Ubisoft,1.2,0.9,0.0,0.24,2.34
8,700,Just Dance 2015,Wii,2014,Misc,Ubisoft,1.11,0.98,0.0,0.2,2.28
9,833,Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.73,1.09,0.0,0.23,2.04
10,938,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.83,0.82,0.0,0.2,1.85
11,1084,Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,0.94,0.57,0.0,0.17,1.67
12,3878,My Word Coach,Wii,2007,Misc,Ubisoft,0.46,0.02,0.0,0.04,0.51
13,1342,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44
14,1672,Just Dance 2016,Wii,2015,Misc,Ubisoft,0.52,0.59,0.0,0.1,1.2
15,1791,Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.26,0.75,0.0,0.14,1.14
16,1972,Dance on Broadway,Wii,2010,Misc,Ubisoft,0.27,0.66,0.0,0.12,1.05
17,3457,Rayman Origins,Wii,2011,Platform,Ubisoft,0.23,0.29,0.0,0.07,0.58
18,4371,Petz: Catz 2,Wii,2007,Simulation,Ubisoft,0.41,0.01,0.0,0.03,0.45
19,12437,Puzzler Collection,Wii,2008,Puzzle,Ubisoft,0.05,0.01,0.0,0.0,0.06
20,8178,Driver: San Francisco,Wii,2011,Racing,Ubisoft,0.06,0.09,0.0,0.02,0.18
21,2340,CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89
22,2440,Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0.0,0.06,0.85
23,2497,The Price is Right,Wii,2008,Misc,Ubisoft,0.77,0.0,0.0,0.06,0.83
24,2569,ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.19,0.5,0.0,0.11,0.8
25,2691,Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.22,0.47,0.0,0.08,0.76
26,6727,Prince of Persia: The Forgotten Sands,Wii,2010,Action,Ubisoft,0.11,0.11,0.0,0.02,0.25
27,3000,Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68
28,3131,The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.39,0.2,0.0,0.06,0.65
29,3184,Family Feud: 2010 Edition,Wii,2009,Misc,Ubisoft,0.59,0.0,0.0,0.04,0.64
30,3185,Red Steel 2,Wii,2010,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.63
31,4819,TMNT,Wii,2007,Action,Ubisoft,0.34,0.03,0.0,0.03,0.4
32,4146,Emergency Heroes,Wii,2008,Racing,Ubisoft,0.15,0.27,0.0,0.06,0.48
33,4560,Petz: Horsez 2,Wii,2007,Simulation,Ubisoft,0.39,0.0,0.0,0.03,0.43
34,4488,Just Dance: Summer Party,Wii,2011,Misc,Ubisoft,0.41,0.0,0.0,0.03,0.44
35,4715,Six Flags Fun Park,Wii,2009,Misc,Ubisoft,0.28,0.1,0.0,0.04,0.41
36,5957,Just Dance Kids 2,Wii,2011,Misc,Ubisoft,0.28,0.0,0.0,0.02,0.29
37,4957,The Dog Island,Wii,2007,Adventure,Ubisoft,0.35,0.01,0.0,0.03,0.39
38,5223,Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,0.33,0.0,0.0,0.03,0.36
39,6505,Racquet Sports,Wii,2010,Sports,Ubisoft,0.14,0.09,0.0,0.02,0.26
40,5392,The Adventures of Tintin: The Game,Wii,2011,Action,Ubisoft,0.13,0.17,0.0,0.04,0.34
41,5807,Shaun White Snowboarding: World Stage,Wii,2009,Sports,Ubisoft,0.25,0.04,0.0,0.02,0.31
42,5984,Prince of Persia: Rival Swords,Wii,2007,Action,Ubisoft,0.24,0.03,0.0,0.02,0.29
43,6019,CSI: Deadly Intent,Wii,2009,Adventure,Ubisoft,0.13,0.13,0.0,0.03,0.29
44,10448,The Smurfs 2,Wii,2013,Platform,Ubisoft,0.0,0.09,0.0,0.01,0.1
45,7207,Tenchu: Shadow Assassins,Wii,2008,Action,Ubisoft,0.16,0.01,0.03,0.02,0.22
46,7209,CSI: Fatal Conspiracy,Wii,2010,Adventure,Ubisoft,0.12,0.08,0.0,0.02,0.22
47,7670,Family Feud: 2012 Edition,Wii,2011,Misc,Ubisoft,0.19,0.0,0.0,0.01,0.2
48,7854,Monster 4x4: Stunt Racer,Wii,2009,Racing,Ubisoft,0.18,0.0,0.0,0.01,0.19
49,7896,Shaun White Skateboarding,Wii,2010,Sports,Ubisoft,0.14,0.03,0.0,0.01,0.19
50,11956,Open Season,Wii,2006,Platform,Ubisoft,0.06,0.0,0.0,0.01,0.07
51,9484,Just Dance: Disney Party,Wii,2012,Misc,Ubisoft,0.01,0.1,0.0,0.02,0.13
52,9066,Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,0.07,0.0,0.06,0.01,0.14
53,9085,Cranium Kabookii,Wii,2007,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14
54,9285,Nitrobike,Wii,2008,Racing,Ubisoft,0.11,0.01,0.0,0.01,0.14
55,9567,Brothers in Arms: Double Time,Wii,2008,Shooter,Ubisoft,0.11,0.0,0.0,0.01,0.13
56,9872,Fit in Six,Wii,2011,Sports,Ubisoft,0.11,0.0,0.0,0.01,0.12
57,10003,Hollywood Squares,Wii,2010,Misc,Ubisoft,0.11,0.0,0.0,0.01,0.11
58,6484,Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,0.22,0.03,0.0,0.02,0.26
59,5726,Star Wars Episode III: Revenge of the Sith,DS,2005,Action,Ubisoft,0.25,0.03,0.0,0.03,0.31
60,524,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0.0,0.3,2.81
61,4081,Rayman Raving Rabbids: TV Party,DS,2008,Misc,Ubisoft,0.44,0.01,0.0,0.04,0.49
