Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,b'Wii Sports',b'Wii',2006,b'Sports',b'Nintendo',41.49,29.02,3.77,8.46,82.74
2,b'Super Mario Bros.',b'NES',1985,b'Platform',b'Nintendo',29.08,3.58,6.81,0.77,40.24
3,b'Mario Kart Wii',b'Wii',2008,b'Racing',b'Nintendo',15.85,12.88,3.79,3.31,35.82
4,b'Wii Sports Resort',b'Wii',2009,b'Sports',b'Nintendo',15.75,11.01,3.28,2.96,33.0
5,b'Pokemon Red/Pokemon Blue',b'GB',1996,b'Role-Playing',b'Nintendo',11.27,8.89,10.22,1.0,31.37
6,b'Tetris',b'GB',1989,b'Puzzle',b'Nintendo',23.2,2.26,4.22,0.58,30.26
7,b'New Super Mario Bros.',b'DS',2006,b'Platform',b'Nintendo',11.38,9.23,6.5,2.9,30.01
8,b'Wii Play',b'Wii',2006,b'Misc',b'Nintendo',14.03,9.2,2.93,2.85,29.02
9,b'New Super Mario Bros. Wii',b'Wii',2009,b'Platform',b'Nintendo',14.59,7.06,4.7,2.26,28.62
10,b'Duck Hunt',b'NES',1984,b'Shooter',b'Nintendo',26.93,0.63,0.28,0.47,28.31
11,b'Nintendogs',b'DS',2005,b'Simulation',b'Nintendo',9.07,11.0,1.93,2.75,24.76
12,b'Mario Kart DS',b'DS',2005,b'Racing',b'Nintendo',9.81,7.57,4.13,1.92,23.42
13,b'Pokemon Gold/Pokemon Silver',b'GB',1999,b'Role-Playing',b'Nintendo',9.0,6.18,7.2,0.71,23.1
14,b'Wii Fit',b'Wii',2007,b'Sports',b'Nintendo',8.94,8.03,3.6,2.15,22.72
15,b'Wii Fit Plus',b'Wii',2009,b'Sports',b'Nintendo',9.09,8.59,2.53,1.79,22.0
16,b'Kinect Adventures!',b'X360',2010,b'Misc',b'Microsoft Game Studios',14.97,4.94,0.24,1.67,21.82
17,b'Grand Theft Auto V',b'PS3',2013,b'Action',b'Take-Two Interactive',7.01,9.27,0.97,4.14,21.4
18,b'Grand Theft Auto: San Andreas',b'PS2',2004,b'Action',b'Take-Two Interactive',9.43,0.4,0.41,10.57,20.81
19,b'Super Mario World',b'SNES',1990,b'Platform',b'Nintendo',12.78,3.75,3.54,0.55,20.61
20,b'Brain Age: Train Your Brain in Minutes a Day',b'DS',2005,b'Misc',b'Nintendo',4.75,9.26,4.16,2.05,20.22
21,b'Pokemon Diamond/Pokemon Pearl',b'DS',2006,b'Role-Playing',b'Nintendo',6.42,4.52,6.04,1.37,18.36
22,b'Super Mario Land',b'GB',1989,b'Platform',b'Nintendo',10.83,2.71,4.18,0.42,18.14
23,b'Super Mario Bros. 3',b'NES',1988,b'Platform',b'Nintendo',9.54,3.44,3.84,0.46,17.28
24,b'Grand Theft Auto V',b'X360',2013,b'Action',b'Take-Two Interactive',9.63,5.31,0.06,1.38,16.38
25,b'Grand Theft Auto: Vice City',b'PS2',2002,b'Action',b'Take-Two Interactive',8.41,5.49,0.47,1.78,16.15
26,b'Pokemon Ruby/Pokemon Sapphire',b'GBA',2002,b'Role-Playing',b'Nintendo',6.06,3.9,5.38,0.5,15.85
27,b'Pokemon Black/Pokemon White',b'DS',2010,b'Role-Playing',b'Nintendo',5.57,3.28,5.65,0.82,15.32
28,b'Brain Age 2: More Training in Minutes a Day',b'DS',2005,b'Puzzle',b'Nintendo',3.44,5.36,5.32,1.18,15.3
29,b'Gran Turismo 3: A-Spec',b'PS2',2001,b'Racing',b'Sony Computer Entertainment',6.85,5.09,1.87,1.16,14.98
30,b'Call of Duty: Modern Warfare 3',b'X360',2011,b'Shooter',b'Activision',9.03,4.28,0.13,1.32,14.76
31,b'Pok\xe9mon Yellow: Special Pikachu Edition',b'GB',1998,b'Role-Playing',b'Nintendo',5.89,5.04,3.12,0.59,14.64
32,b'Call of Duty: Black Ops',b'X360',2010,b'Shooter',b'Activision',9.67,3.73,0.11,1.13,14.64
33,b'Pokemon X/Pokemon Y',b'3DS',2013,b'Role-Playing',b'Nintendo',5.17,4.05,4.34,0.79,14.35
34,b'Call of Duty: Black Ops 3',b'PS4',2015,b'Shooter',b'Activision',5.77,5.81,0.35,2.31,14.24
35,b'Call of Duty: Black Ops II',b'PS3',2012,b'Shooter',b'Activision',4.99,5.88,0.65,2.52,14.03
36,b'Call of Duty: Black Ops II',b'X360',2012,b'Shooter',b'Activision',8.25,4.3,0.07,1.12,13.73
37,b'Call of Duty: Modern Warfare 2',b'X360',2009,b'Shooter',b'Activision',8.52,3.63,0.08,1.29,13.51
38,b'Call of Duty: Modern Warfare 3',b'PS3',2011,b'Shooter',b'Activision',5.54,5.82,0.49,1.62,13.46
39,b'Grand Theft Auto III',b'PS2',2001,b'Action',b'Take-Two Interactive',6.99,4.51,0.3,1.3,13.1
40,b'Super Smash Bros. Brawl',b'Wii',2008,b'Fighting',b'Nintendo',6.75,2.61,2.66,1.02,13.04
41,b'Call of Duty: Black Ops',b'PS3',2010,b'Shooter',b'Activision',5.98,4.44,0.48,1.83,12.73
42,b'Animal Crossing: Wild World',b'DS',2005,b'Simulation',b'Nintendo',2.55,3.52,5.33,0.88,12.27
43,b'Mario Kart 7',b'3DS',2011,b'Racing',b'Nintendo',4.74,3.91,2.67,0.89,12.21
44,b'Halo 3',b'X360',2007,b'Shooter',b'Microsoft Game Studios',7.97,2.83,0.13,1.21,12.14
45,b'Grand Theft Auto V',b'PS4',2014,b'Action',b'Take-Two Interactive',3.8,5.81,0.36,2.02,11.98
46,b'Pokemon HeartGold/Pokemon SoulSilver',b'DS',2009,b'Action',b'Nintendo',4.4,2.77,3.96,0.77,11.9
47,b'Super Mario 64',b'N64',1996,b'Platform',b'Nintendo',6.91,2.85,1.91,0.23,11.89
48,b'Gran Turismo 4',b'PS2',2004,b'Racing',b'Sony Computer Entertainment',3.01,0.01,1.1,7.53,11.66
49,b'Super Mario Galaxy',b'Wii',2007,b'Platform',b'Nintendo',6.16,3.4,1.2,0.76,11.52
50,b'Pokemon Omega Ruby/Pokemon Alpha Sapphire',b'3DS',2014,b'Role-Playing',b'Nintendo',4.23,3.37,3.08,0.65,11.33
51,b'Super Mario Land 2: 6 Golden Coins',b'GB',1992,b'Adventure',b'Nintendo',6.16,2.04,2.69,0.29,11.18
52,b'Grand Theft Auto IV',b'X360',2008,b'Action',b'Take-Two Interactive',6.76,3.1,0.14,1.03,11.02
53,b'Gran Turismo',b'PS',1997,b'Racing',b'Sony Computer Entertainment',4.02,3.87,2.54,0.52,10.95
54,b'Super Mario 3D Land',b'3DS',2011,b'Platform',b'Nintendo',4.89,2.99,2.13,0.78,10.79
55,b'Gran Turismo 5',b'PS3',2010,b'Racing',b'Sony Computer Entertainment',2.96,4.88,0.81,2.12,10.77
56,b'Call of Duty: Modern Warfare 2',b'PS3',2009,b'Shooter',b'Activision',4.99,3.69,0.38,1.63,10.69
57,b'Grand Theft Auto IV',b'PS3',2008,b'Action',b'Take-Two Interactive',4.76,3.76,0.44,1.62,10.57
58,b'Super Mario All-Stars',b'SNES',1993,b'Platform',b'Nintendo',5.99,2.15,2.12,0.29,10.55
59,b'Pokemon FireRed/Pokemon LeafGreen',b'GBA',2004,b'Role-Playing',b'Nintendo',4.34,2.65,3.15,0.35,10.49
60,b'Super Mario 64',b'DS',2004,b'Platform',b'Nintendo',5.08,3.11,1.25,0.98,10.42
61,b'Just Dance 3',b'Wii',2011,b'Misc',b'Ubisoft',6.05,3.15,0.0,1.07,10.26
62,b'Call of Duty: Ghosts',b'X360',2013,b'Shooter',b'Activision',6.72,2.63,0.04,0.82,10.21
63,b'Halo: Reach',b'X360',2010,b'Shooter',b'Microsoft Game Studios',7.03,1.98,0.08,0.78,9.88
64,b'Mario Kart 64',b'N64',1996,b'Racing',b'Nintendo',5.55,1.94,2.23,0.15,9.87
65,b'New Super Mario Bros. 2',b'3DS',2012,b'Platform',b'Nintendo',3.66,3.07,2.47,0.63,9.82
66,b'Halo 4',b'X360',2012,b'Shooter',b'Microsoft Game Studios',6.63,2.36,0.04,0.73,9.76
67,b'Final Fantasy VII',b'PS',1997,b'Role-Playing',b'Sony Computer Entertainment',3.01,2.47,3.28,0.96,9.72
68,b'Call of Duty: Ghosts',b'PS3',2013,b'Shooter',b'Activision',4.09,3.73,0.38,1.38,9.59
69,b'Just Dance 2',b'Wii',2010,b'Misc',b'Ubisoft',5.84,2.89,0.01,0.78,9.52
70,b'Gran Turismo 2',b'PS',1999,b'Racing',b'Sony Computer Entertainment',3.88,3.42,1.69,0.5,9.49
71,b'Call of Duty 4: Modern Warfare',b'X360',2007,b'Shooter',b'Activision',5.91,2.38,0.13,0.9,9.32
72,b'Donkey Kong Country',b'SNES',1994,b'Platform',b'Nintendo',4.36,1.71,3.0,0.23,9.3
73,b'Minecraft',b'X360',2013,b'Misc',b'Microsoft Game Studios',5.58,2.83,0.02,0.77,9.2
74,b'Animal Crossing: New Leaf',b'3DS',2012,b'Simulation',b'Nintendo',2.01,2.32,4.36,0.41,9.09
75,b'Mario Party DS',b'DS',2007,b'Misc',b'Nintendo',4.46,1.88,1.98,0.7,9.02
76,b'The Elder Scrolls V: Skyrim',b'X360',2011,b'Role-Playing',b'Bethesda Softworks',5.03,2.86,0.1,0.85,8.84
77,b'Super Mario Kart',b'SNES',1992,b'Racing',b'Nintendo',3.54,1.24,3.81,0.18,8.76
78,b'FIFA 16',b'PS4',2015,b'Sports',b'Electronic Arts',1.11,6.06,0.06,1.26,8.49
79,b'Wii Party',b'Wii',2010,b'Misc',b'Nintendo',1.79,3.53,2.49,0.68,8.49
80,b'Halo 2',b'XB',2004,b'Shooter',b'Microsoft Game Studios',6.82,1.53,0.05,0.08,8.49
81,b'Mario Party 8',b'Wii',2007,b'Misc',b'Nintendo',3.81,2.3,1.58,0.73,8.42
82,b'Pokemon Black 2/Pokemon White 2',b'DS',2012,b'Role-Playing',b'Nintendo',2.91,1.86,3.14,0.43,8.33
83,b'FIFA Soccer 13',b'PS3',2012,b'Action',b'Electronic Arts',1.06,5.05,0.13,2.01,8.24
84,b'The Sims 3',b'PC',2009,b'Simulation',b'Electronic Arts',0.98,6.42,0.0,0.71,8.11
85,b'GoldenEye 007',b'N64',1997,b'Shooter',b'Nintendo',5.8,2.01,0.13,0.15,8.09
86,b'Mario & Sonic at the Olympic Games',b'Wii',2007,b'Sports',b'Sega',2.58,3.9,0.66,0.91,8.06
87,b'Final Fantasy X',b'PS2',2001,b'Role-Playing',b'Sony Computer Entertainment',2.91,2.07,2.73,0.33,8.05
88,b'Final Fantasy VIII',b'PS',1999,b'Role-Playing',b'SquareSoft',2.28,1.72,3.63,0.23,7.86
89,b'Pok\xe9mon Platinum Version',b'DS',2008,b'Role-Playing',b'Nintendo',2.82,1.78,2.69,0.55,7.84
90,b'Pac-Man',b'2600',1982,b'Puzzle',b'Atari',7.28,0.45,0.0,0.08,7.81
91,b'Grand Theft Auto: Liberty City Stories',b'PSP',2005,b'Action',b'Take-Two Interactive',2.9,2.83,0.24,1.75,7.72
92,b'Super Mario Galaxy 2',b'Wii',2010,b'Platform',b'Nintendo',3.66,2.42,0.98,0.64,7.69
93,b'Star Wars Battlefront (2015)',b'PS4',2015,b'Shooter',b'Electronic Arts',2.93,3.29,0.22,1.23,7.67
94,b'Call of Duty: Advanced Warfare',b'PS4',2014,b'Shooter',b'Activision',2.8,3.3,0.14,1.37,7.6
95,b'The Legend of Zelda: Ocarina of Time',b'N64',1998,b'Action',b'Nintendo',4.1,1.89,1.45,0.16,7.6
96,b'Crash Bandicoot 2: Cortex Strikes Back',b'PS',1997,b'Platform',b'Sony Computer Entertainment',3.78,2.17,1.31,0.31,7.58
97,b'Super Mario Bros. 2',b'NES',1988,b'Platform',b'Nintendo',5.39,1.18,0.7,0.19,7.46
98,b'Super Smash Bros. for Wii U and 3DS',b'3DS',2014,b'Fighting',b'Nintendo',3.24,1.35,2.42,0.43,7.45
99,b'Call of Duty: World at War',b'X360',2008,b'Shooter',b'Activision',4.79,1.9,0.0,0.69,7.37
100,b'Battlefield 3',b'X360',2011,b'Shooter',b'Electronic Arts',4.46,2.13,0.06,0.69,7.34
101,b'The Legend of Zelda: Twilight Princess',b'Wii',2006,b'Action',b'Nintendo',3.83,2.19,0.6,0.7,7.31
102,b'Call of Duty: Black Ops 3',b'XOne',2015,b'Shooter',b'Activision',4.52,2.09,0.01,0.67,7.3
103,b'Just Dance',b'Wii',2009,b'Misc',b'Ubisoft',3.51,3.03,0.0,0.73,7.27
104,b'Battlefield 3',b'PS3',2011,b'Shooter',b'Electronic Arts',2.85,2.93,0.35,1.1,7.23
105,b'Need for Speed Underground',b'PS2',2003,b'Racing',b'Electronic Arts',3.27,2.83,0.08,1.02,7.2
106,b'Tekken 3',b'PS',1998,b'Fighting',b'Sony Computer Entertainment',3.27,2.22,1.4,0.29,7.16
107,b'Crash Bandicoot 3: Warped',b'PS',1998,b'Platform',b'Sony Computer Entertainment',3.68,1.75,1.42,0.28,7.13
108,b'Super Smash Bros. Melee',b'GC',2001,b'Fighting',b'Nintendo',4.41,1.04,1.39,0.22,7.07
109,b'Mario Kart 8',b'WiiU',2014,b'Racing',b'Nintendo',3.13,2.07,1.27,0.49,6.96
110,b'Fallout 4',b'PS4',2015,b'Role-Playing',b'Bethesda Softworks',2.47,3.15,0.24,1.1,6.96
111,b'Mario Kart: Double Dash!!',b'GC',2003,b'Racing',b'Nintendo',4.12,1.77,0.87,0.19,6.95
