,Name,Classification,Released_games,Unreleased_games,Total_revenue,Avg_revenue_per_game,Med_revenue_per_game,%_developed_in_house,%_indie_releases,Action,Casual,Adventure,Simaulation,Strategy,RPG,MMO,Racing,Sports
0,8Floor ,Indie,282,0,8300000,29257,485,0.07,0.05,0,1,0.07,0.05,0.15,0,0.01,0,0
1,SEGA ,AAA,231,8,2100000000,9000000,1300000,0.32,0.05,0.45,0.07,0.17,0.14,0.27,0.13,0.01,0.05,0.13
2,Strategy First ,Indie,172,1,14800000,86059,10883,0.06,0.2,0.18,0.14,0.27,0.16,0.35,0.04,0,0.09,0.02
3,HH-Games ,Indie,160,5,581000,3631,1607,0.01,0.57,0.25,1,0.29,0.07,0.31,0.01,0,0,0.01
4,Ubisoft ,AAA,158,3,2500000000,15700000,1500000,0.12,0.04,0.58,0.08,0.34,0.12,0.16,0.14,0.02,0.11,0.06
5,Laush Studio ,Indie,156,1,1600000,10516,779,0.01,0.98,0.13,0.73,0.11,0.13,0.02,0,0.01,0.04,0.03
6,Plug in Digital ,Indie,153,5,11200000,73088,9450,0,0.72,0.39,0.3,0.37,0.13,0.18,0.08,0,0.08,0.11
7,Sekai Project ,Indie,150,3,40200000,268000,37308,0.01,0.65,0.15,0.75,0.39,0.16,0.06,0.13,0,0,0.01
8,Square Enix ,AAA,150,1,859500000,5700000,935000,0.55,0.03,0.45,0.05,0.25,0.05,0.11,0.56,0.03,0.01,0.01
9,THQ Nordic ,AA,149,9,336900000,2300000,329000,0.11,0.09,0.48,0.03,0.25,0.21,0.31,0.33,0,0.09,0.08
10,Choice of Games ,Indie,148,5,1400000,9633,2541,1,0.97,0.1,0.22,0.77,0,0,0.99,0,0,0
11,Electronic Arts ,AAA,140,9,2000000000,14300000,3100000,0.03,0.05,0.5,0.13,0.23,0.23,0.15,0.15,0.02,0.22,0.2
12,Ziggurat ,Indie,132,4,3100000,23667,1729,0,0.01,0.64,0.07,0.31,0.29,0.24,0.1,0,0.03,0.11
13,"KOEI TECMO GAMES CO., LTD. ",AAA,117,4,261600000,2200000,392000,0.99,0,0.26,0.02,0.1,0.2,0.33,0.31,0.02,0.03,0.04
14,Alawar Entertainment ,Indie,115,1,1400000,12287,3029,0.07,0.69,0,0.99,0.86,0.09,0.39,0,0,0,0
15,Devolver Digital ,AA,115,10,549000000,4800000,875000,0,0.88,0.71,0.14,0.48,0.1,0.11,0.12,0.02,0.02,0.04
16,Atomic Fabrik ,Indie,114,6,1300000,11819,359,0.79,0.98,0.29,0.83,0.77,0.96,0.33,0.01,0.02,0.41,0.54
17,Slitherine LTD. ,Indie,113,9,54200000,480000,152000,0.07,0.08,0,0.01,0.02,0.43,0.96,0.03,0,0.02,0.02
18,Fulqrum Publishing ,Indie,113,7,74400000,658000,69346,0.12,0.32,0.34,0.07,0.28,0.19,0.48,0.31,0,0.03,0
19,Cristian Manolachi ,Indie,112,1,1300000,11975,359,0.78,0.98,0.31,0.83,0.75,0.96,0.34,0.01,0.02,0.42,0.54
20,PLAYISM ,Indie,107,10,57200000,535000,118000,0,0.92,0.54,0.26,0.38,0.15,0.06,0.15,0,0.01,0.02
21,PlayWay S. A. ,Indie,107,134,145200000,1400000,329000,0.01,0.66,0.4,0.38,0.34,0.91,0.23,0.1,0.01,0.08,0.04
22,Kagura Games ,Indie,105,16,19100000,182000,82129,0,0.95,0.12,0.05,0.45,0.03,0.01,0.98,0,0,0
23,Komodo ,Indie,103,1,19600000,190000,45236,0,0.37,0.4,0.3,0.3,0.11,0.02,0.28,0,0,0.01
24,Sokpop Collective ,Indie,103,0,2500000,23955,1346,0.99,0.97,0.33,0.24,0.33,0.19,0.2,0.1,0.05,0.01,0.07
25,Tero Lunkka ,Indie,102,0,162000,1591,1047,0.83,0.99,0.4,0.52,0.52,0.14,0.06,0.02,0,0.18,0.03
26,Nightdive Studios ,Indie,102,2,11600000,113000,18605,0.13,0.02,0.24,0.39,0.64,0.18,0.08,0.09,0,0.01,0
27,Boogygames Studios ,Indie,99,2,44421,449,155,1,1,0.2,0.98,0.8,0.5,0.89,0.26,0,0.05,0.27
28,Bandai Namco Entertainment ,AAA,99,5,1800000000,18200000,4000000,0,0.05,0.71,0.13,0.21,0.1,0.06,0.27,0.01,0.06,0.04
29,Reforged Group ,Indie,96,0,50157,522,437,1,0.98,0.23,0.16,0.15,0.02,0,0,0,0.02,0
30,Microids ,Indie,95,6,45800000,482000,35348,0.16,0.14,0.36,0.26,0.57,0.12,0.09,0.02,0.01,0.11,0.05
31,Hosted Games ,Indie,93,4,684000,7357,2480,1,1,0.11,0.41,0.81,0.01,0.01,0.99,0,0,0
32,Piece Of Voxel ,Indie,92,4,306000,3321,2824,0.31,0.97,0.38,0.72,0.46,0.51,0.46,0.04,0.02,0.09,0.01
33,Activision ,AAA,91,1,1600000000,17400000,620000,0.04,0,0.66,0.02,0.29,0.09,0.08,0.05,0,0.01,0.04
34,Pixel Games UK ,Indie,91,3,637000,7004,96,0.04,0.02,0.72,0.02,0.17,0.16,0.13,0.05,0,0.05,0.19
35,Disney ,Indie,89,0,93100000,1000000,133000,0,0,0.66,0.04,0.57,0.08,0.06,0.01,0,0.09,0
36,SA Industry ,Indie,89,0,6300000,70724,4648,0,0.88,0.58,0.61,0.56,0.09,0.17,0.11,0.02,0.08,0.07
37,2K ,AAA,87,0,2200000000,25700000,1200000,0,0.03,0.37,0.06,0.13,0.21,0.38,0.18,0,0,0.26
38,tinybuild ,Indie,83,14,141100000,1700000,607000,0.08,0.97,0.67,0.25,0.64,0.33,0.26,0.21,0.03,0.05,0.02
39,Grabthegames ,Indie,82,12,3900000,48113,18216,0,0.89,0.26,0.31,0.64,0.24,0.22,0.19,0,0.01,0
40,Daedalic Entertainment ,Indie,82,6,167400000,2000000,810000,0.27,0.92,0.23,0.19,0.6,0.19,0.33,0.09,0.01,0.01,0
41,DigiPen Institute of Technology ,Indie,81,2,0,0,0,0.01,0.06,0.73,0.29,0.29,0.04,0.05,0.02,0,0.01,0
42,WhisperGames ,Indie,81,6,55000000,679000,140000,0,0.84,0.28,0.15,0.55,0.24,0.38,0.31,0,0.02,0
43,Artifex Mundi ,Indie,80,0,19200000,240000,144000,0.23,0.04,0.01,0.98,0.96,0,0,0,0,0,0.01
44,Paradox Interactive ,AA,79,5,1200000000,14800000,1400000,0,0.14,0.17,0.04,0.12,0.3,0.76,0.27,0,0.01,0.04
45,Nacon ,Indie,79,19,88700000,1100000,338000,0,0.04,0.23,0.14,0.26,0.39,0.2,0.13,0.02,0.24,0.48
46,hede ,Indie,79,1,658000,8327,4150,0.65,1,1,0.93,0.7,0.91,0.74,0.45,0.11,0.21,0.38
47,MangaGamer ,Indie,78,1,18500000,238000,68546,0.01,0.33,0.08,0.16,0.84,0.01,0.01,0.08,0,0,0
48,Dnovel ,Indie,78,0,233000,2984,2670,0.78,0.76,0.81,0.64,0.95,0,0.01,0.05,0.05,0,0
49,ESDigital Games ,Indie,78,1,4500000,58326,19178,0.01,0.29,0.23,0.58,0.3,0.38,0.48,0.1,0,0.05,0
50,Gamera Games ,Indie,76,13,70200000,924000,52213,0,0.91,0.33,0.28,0.4,0.3,0.28,0.26,0,0,0
51,Blender Games ,Indie,71,0,377000,5311,758,1,1,0.03,1,0.03,0,0,0,0,0,0
52,Headup Publishing ,Indie,70,2,22400000,320000,123000,0,0.82,0.56,0.25,0.47,0.19,0.22,0.29,0,0.04,0.03
53,EroticGamesClub ,Indie,67,1,15103,225,210,1,1,0,0.99,0,0.1,0,0,0,0,0
54,RewindApp ,Indie,67,1,1000000,15293,1449,0.94,1,0.34,0.9,0.12,0.29,0.26,0,0.01,0.18,0.03
55,Individual Software ,Indie,67,2,105000,1574,744,0.86,0,0,0.06,0,0,0,0,0,0,0
56,My Way Games ,Indie,67,0,553000,8255,1848,0.01,0.81,0.49,0.69,0.58,0.22,0.04,0.04,0,0.19,0.21
57,Forever Entertainment S. A. ,Indie,67,5,9700000,145000,50546,0.25,0.85,0.67,0.68,0.49,0.21,0.14,0.11,0,0.03,0.03
58,Garage Games ,Indie,66,0,657000,9955,699,0.29,0.91,0.36,0.82,0.26,0.09,0.02,0,0,0.03,0
59,Bethesda Softworks ,AAA,65,3,1900000000,29800000,11800000,0.06,0,0.66,0.01,0.09,0.01,0.01,0.32,0.04,0,0
60,United Independent Entertainment ,Indie,63,0,5600000,88994,12411,0.44,0.14,0.24,0.35,0.16,0.7,0.11,0.08,0.03,0.02,0.08
61,Ripknot Systems ,Indie,62,0,896000,14449,6525,1,0.63,0.52,1,0,0.5,0.55,0.02,0,0,0
62,MAGIX Software GmbH ,Indie,61,0,19500000,320000,53397,0.98,0,0,0,0,0,0,0,0,0,0
63,Trinity Project ,Indie,61,0,1400000,23729,3916,0.05,0.85,0.67,0.61,0.43,0.25,0.26,0.03,0.05,0.02,0.05
64,Focus Entertainment ,Indie,60,8,356000000,5900000,1900000,0.03,0.24,0.5,0.06,0.46,0.16,0.18,0.37,0.03,0,0.03
65,DIG Publishing ,Indie,60,1,19683,328,282,0.43,1,0,1,0,0,0,0,0,0,0
66,kazakovstudios ,Indie,59,0,195000,3303,1772,0.12,0.9,0.2,0.44,0.42,0.24,0,0.05,0,0.02,0.07
67,William at Oxford ,Indie,57,4,105000,1842,594,1,0.03,0.21,0.97,0.13,0.16,0.02,0.1,0,0.02,0.05
68,Back to Basics Gaming ,Indie,57,0,5700000,99993,23355,0.07,0.98,0.44,0.56,0.25,0.11,0.07,0.21,0,0.05,0
69,PsychoFlux Entertainment ,Indie,56,7,475000,8487,2214,0,1,0.54,0.51,0.41,0.03,0.08,0.16,0,0,0.02
